Sales,Extra,Extra%,Bookings,Sales/Booking,Extra/Booking,Weekday,Date,BenjaminExtra,BenjaminHours,Benjamin_Extra/h
40414.5,2374.0,0.0587412933476846,71.0,569.2183098591549,33.436619718309856,ons,2022-03-02,,,
,2865.0,,78.0,,36.73076923076923,tor,2022-03-03,,,
57929.0,3138.0,0.0541697595332217,92.0,629.6630434782609,34.108695652173914,fre,2022-03-04,,,
87690.0,5767.0,0.0657657657657657,137.0,640.07299270073,42.09489051094891,lör,2022-03-05,,,
49629.5,3145.0,0.0633695685026042,80.0,620.36875,39.3125,tis,2022-03-08,,,
39586.5,1587.0,0.0400894244249933,66.0,599.7954545454545,24.045454545454547,ons,2022-03-09,,,
,2370.0,,70.0,,33.857142857142854,tor,2022-03-10,,,
59906.0,3057.0,0.0510299469168363,80.0,748.825,38.2125,fre,2022-03-11,,,
88259.0,5105.0,0.0578411266839642,139.0,634.956834532374,36.726618705035975,lör,2022-03-12,,,
37349.5,1745.5,0.0467342266964751,64.0,583.5859375,27.2734375,tis,2022-03-15,,,
44864.0,2453.0,0.0546763552068473,75.0,598.1866666666666,32.70666666666666,ons,2022-03-16,,,
,3003.0,,71.0,,42.29577464788732,tor,2022-03-17,,,
64837.0,3510.0,0.054135755818437,98.0,661.6020408163265,35.816326530612244,fre,2022-03-18,,,
83722.0,5703.0,0.0681182962662143,137.0,611.1094890510949,41.627737226277375,lör,2022-03-19,,,
44326.0,1936.0,0.0436763975996029,76.0,583.2368421052631,25.473684210526315,tis,2022-03-22,,,
47486.5,3003.0,0.0632390258283933,72.0,659.5347222222222,41.708333333333336,ons,2022-03-23,,,
,2125.0,,73.0,,29.10958904109589,tor,2022-03-24,,,
59121.0,3685.0,0.0623297982104497,80.0,739.0125,46.0625,fre,2022-03-25,,,
93274.0,4496.0,0.0482020713167656,147.0,634.5170068027211,30.58503401360544,lör,2022-03-26,,,
43189.5,3100.5,0.0717882818740666,71.0,608.3028169014085,43.66901408450704,tis,2022-03-29,,,
41453.0,2492.0,0.0601162762646853,76.0,545.4342105263158,32.78947368421053,ons,2022-03-30,,,
,3255.0,,84.0,,38.75,tor,2022-03-31,,,
64418.5,3414.5,0.0530049597553497,85.0,757.864705882353,40.17058823529412,fre,2022-04-01,,,
85245.0,4108.0,0.0481905097073142,135.0,631.4444444444445,30.42962962962963,lör,2022-04-02,,,
44729.0,2444.0,0.0546401663350399,71.0,629.9859154929577,34.42253521126761,tis,2022-04-05,,,
53577.0,2974.0,0.0555088937417175,85.0,630.3176470588236,34.98823529411764,ons,2022-04-06,,,
,4018.0,,86.0,,46.72093023255814,tor,2022-04-07,,,
63366.0,4074.0,0.0642931540573809,88.0,720.0681818181819,46.29545454545455,fre,2022-04-08,,,
76219.5,4470.0,0.0586464093834255,116.0,657.0646551724138,38.53448275862069,lör,2022-04-09,,,
