time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2022-03-01,51,6.5,-1.6,1.9,0.10,0.00
2022-03-02,3,6.0,-1.2,1.6,0.00,0.00
2022-03-03,2,5.0,-3.6,0.5,0.00,0.00
2022-03-04,0,4.3,-4.4,-1.5,0.00,0.00
2022-03-05,3,5.0,-4.8,-0.8,0.00,0.00
2022-03-06,3,5.7,-3.6,0.6,0.00,0.00
2022-03-07,3,6.6,-1.8,2.2,0.00,0.00
2022-03-08,3,7.8,-2.2,1.5,0.00,0.00
2022-03-09,3,7.1,-4.0,0.8,0.00,0.00
2022-03-10,3,3.7,-1.0,1.4,0.00,0.00
2022-03-11,3,6.6,-3.1,0.9,0.00,0.00
2022-03-12,3,8.4,-3.0,1.4,0.00,0.00
2022-03-13,3,11.8,-3.4,2.3,0.00,0.00
2022-03-14,3,10.6,-2.8,2.5,0.00,0.00
2022-03-15,0,8.9,-2.5,1.7,0.00,0.00
2022-03-16,3,10.2,-3.6,1.6,0.00,0.00
2022-03-17,3,8.4,-3.5,2.2,0.00,0.00
2022-03-18,51,7.1,0.0,4.5,0.20,0.00
2022-03-19,2,10.4,-2.6,3.6,0.00,0.00
2022-03-20,1,14.3,-1.4,4.9,0.00,0.00
2022-03-21,0,11.4,-0.8,4.2,0.00,0.00
2022-03-22,0,11.2,-1.9,4.3,0.00,0.00
2022-03-23,3,10.2,-0.7,4.6,0.00,0.00
2022-03-24,3,13.3,0.3,6.2,0.00,0.00
2022-03-25,3,12.6,2.7,7.9,0.00,0.00
2022-03-26,3,8.2,-2.3,4.3,0.00,0.00
2022-03-27,3,7.8,-2.8,3.4,0.00,0.00
2022-03-28,71,11.3,-1.7,6.9,0.30,0.07
2022-03-29,71,1.2,-6.2,-2.2,0.00,0.28
2022-03-30,3,2.9,-6.3,-2.4,0.00,0.00
2022-03-31,73,4.1,-6.5,-1.8,0.00,1.89
2022-04-01,73,2.4,-6.8,-2.5,0.00,1.12
2022-04-02,3,4.3,-8.8,-1.6,0.00,0.00
2022-04-03,3,6.7,-4.0,1.4,0.00,0.00
